id,Store,Merch,Offer,Title,Description,Code,Terms,Category,feature,URL,Link,Image,Type,Value,Status,Startdate,Enddate
73344366,Fresh Market,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,549486,The Terms go here,Pork,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,50% off,The status goes here,2022-09-26,2023-10-30
5933184,Fresh Market,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,729689,"Terms goes here ",Vegetable,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,Buy 1 get 1 Free,Status goes here,2022-01-17,2023-09-13
38484227,"Target ",Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,832808,"Terms goes here ","Poultry ",The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,Buy 1 get 1 Free,The status goes here,2022-07-13,2023-08-20
70514952,Winn-Dixie,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,the Description goes here,686905,"Terms goes here ",Pork,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,Buy 1 get 1 Free,The status goes here,2022-06-11,2023-12-10
41863616,Fresh Market,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,the Description goes here,728310,The Terms go here,"Poultry ",The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,Buy 1 get 1 Half off,The status goes here,2022-11-09,2023-12-11
53501710,Winn-Dixie,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,653666,"Terms goes here ","Poultry ",The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,30% off,Status goes here,2022-01-22,2023-01-18
52921813,,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,the Description goes here,838095,The Terms go here,Pork,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,Buy 1 get 1 Free,The status goes here,2022-09-07,2023-09-13
42928054,Walmart,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,the Description goes here,362494,The Terms go here,Dairy,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,50% off,Status goes here,2022-09-20,2023-03-26
66395736,Winn-Dixie,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,906271,"Terms goes here ","Fruit ",The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,30% off,Status goes here,2022-03-02,2023-12-28
1210029,"Target ",Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,490844,"Terms goes here ",Pork,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,Buy 2 get 2 Free,The status goes here,2022-07-12,2023-09-14
67780851,Trader Joes,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,967991,"Terms goes here ","Poultry ",The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,50% off,Status goes here,2022-03-20,2023-03-17
34458115,Trader Joes,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,the Description goes here,535190,The Terms go here,Dairy,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,50% off,Status goes here,2022-01-18,2023-12-10
14968159,Aldi,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,454413,"Terms goes here ",Beef,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,50% off,Status goes here,2022-02-06,2023-03-14
17981316,Publix,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,775602,"Terms goes here ","Fruit ",The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,Buy 1 get 1 Half off,The status goes here,2022-05-23,2023-06-17
87172990,Fresh Market,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,359031,"Terms goes here ",Dairy,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,50% off,The status goes here,2022-11-17,2023-08-30
93071398,Winn-Dixie,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,the Description goes here,116853,"Terms goes here ",Beef,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,25% off,The status goes here,2022-12-11,2023-01-11
57903653,"Target ",Site goes here,The offer of the coupon goes here,The title of the coupon goes here,the Description goes here,729390,"Terms goes here ","Poultry ",The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,Buy 1 get 1 Free,The status goes here,2022-10-12,2023-02-27
49866202,,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,the Description goes here,788405,"Terms goes here ","Fruit ",The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,Buy 2 get 2 Free,Status goes here,2022-02-01,2023-11-07
76587742,Winn-Dixie,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,402186,"Terms goes here ","Fruit ",The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,Buy 1 get 1 Free,Status goes here,2022-12-04,2023-09-21
84235331,Walmart,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,979995,The Terms go here,Beef,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,50% off,Status goes here,2022-05-10,2023-07-26
95870493,Aldi,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,745209,"Terms goes here ",,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,Buy 1 get 1 Half off,Status goes here,2022-04-04,2023-01-29
17285673,Trader Joes,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,489670,"Terms goes here ",,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,30% off,Status goes here,2022-07-13,2023-06-18
13291314,Winn-Dixie,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,Description goes here,245937,The Terms go here,"Poultry ",The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,30% off,Status goes here,2022-09-14,2023-12-03
21471825,Winn-Dixie,Site goes here,The offer of the coupon goes here,The title of the coupon goes here,the Description goes here,539395,"Terms goes here ",Vegetable,The features goes here,The url goes here,The Link goes here,The image goes here,The type goes here,30% off,The status goes here,2022-01-28,2023-02-21
